Business_ID,Business_Name,Financial_Health_Score,Risk_Category,Confidence,Recommended_Loan_Amount,Recommended_Tenure_Months,Recommended_Interest_Band,Approval_Decision,Scoring_Rationale
MSME001,Balaji Residency,100.0,Low,0.922,4932799.28,36,10.5% - 12.5%,Approve,Volatility 0.22 → +11.6 | Buffer 48.4d → +9.7 | ExpRatio 0.85 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.07 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME025,Mysuru Constructions,63.74,Medium,0.935,6723204.23,48,13.0% - 15.5%,Conditional Approval,Volatility 0.18 → +12.2 | Buffer 1.2d → +0.2 | ExpRatio 0.99 → -10.0 | EMI ratio 0.12 → -4.0 | Growth 0.38 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME026,Royal General Store,69.71,Medium,0.925,1585504.31,48,13.0% - 15.5%,Conditional Approval,Volatility 0.21 → +11.8 | Buffer 15.9d → +3.2 | ExpRatio 0.98 → -10.0 | EMI ratio 0.08 → +0.0 | Growth 0.09 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME027,Krishna Tools,71.84,Medium,0.928,2033247.08,24,13.0% - 15.5%,Conditional Approval,Volatility 0.21 → +11.9 | Buffer 4.1d → +0.8 | ExpRatio 1.00 → -10.0 | EMI ratio 0.10 → +0.0 | Growth 0.55 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME028,Rajesh Restaurant,88.22,Low,0.98,7294691.82,48,10.5% - 12.5%,Approve,Volatility 0.05 → +14.3 | Buffer 29.0d → +5.8 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.00 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME029,Sri Motors,65.25,Medium,0.964,2423687.58,36,13.0% - 15.5%,Conditional Approval,Volatility 0.10 → +13.5 | Buffer 11.1d → +2.2 | ExpRatio 0.97 → -10.0 | EMI ratio 0.06 → +0.0 | Growth -0.14 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME030,New Family Dhaba,62.14,Medium,0.947,2933651.46,24,13.0% - 15.5%,Conditional Approval,Volatility 0.15 → +12.7 | Buffer -1.6d → +-0.3 | ExpRatio 1.01 → -10.0 | EMI ratio 0.14 → -4.0 | Growth 0.32 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME031,Krishna Restaurant,66.83,Medium,0.959,2838940.52,24,13.0% - 15.5%,Conditional Approval,Volatility 0.12 → +13.3 | Buffer 22.0d → +4.4 | ExpRatio 0.92 → -10.0 | EMI ratio 0.06 → +0.0 | Growth -0.11 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME032,Ganesh Kitchen,64.96,Medium,0.947,4047427.15,48,13.0% - 15.5%,Conditional Approval,Volatility 0.15 → +12.7 | Buffer 0.2d → +0.0 | ExpRatio 1.01 → -10.0 | EMI ratio 0.12 → -4.0 | Growth 0.27 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME033,Krishna Doodh Bhandar,85.43,Low,0.98,3133099.99,36,10.5% - 12.5%,Approve,Volatility 0.03 → +14.5 | Buffer 31.2d → +6.2 | ExpRatio 0.93 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.01 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME034,Balaji Family Dhaba,67.04,Medium,0.959,4523999.89,24,13.0% - 15.5%,Conditional Approval,Volatility 0.12 → +13.3 | Buffer 2.9d → +0.6 | ExpRatio 0.98 → -10.0 | EMI ratio 0.10 → -4.0 | Growth 0.27 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME035,Krishna Pharmacy,69.07,Medium,0.97,1645326.26,48,13.0% - 15.5%,Conditional Approval,Volatility 0.09 → +13.7 | Buffer 7.6d → +1.5 | ExpRatio 0.99 → -10.0 | EMI ratio 0.11 → -4.0 | Growth 0.05 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME036,Om Sai Freight Services,41.9,High,0.911,2626502.95,24,16.0% - 20.0%,Reject,Volatility 0.19 → +12.1 | Buffer -0.1d → +-0.0 | ExpRatio 1.01 → -10.0 | EMI ratio 0.11 → -4.0 | Growth -0.05 → +1.0 | GST reg 0.58 → +4.7 | Bounces 4 → -12.0 | MinBal → -6.0
MSME037,Royal Health Care,86.07,Low,0.98,3528197.55,48,10.5% - 12.5%,Approve,Volatility 0.04 → +14.3 | Buffer 25.3d → +5.1 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.05 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME038,Sri Restaurant,40.62,High,0.972,1410519.28,18,16.0% - 20.0%,Reject,Volatility 0.06 → +14.2 | Buffer 2.7d → +0.5 | ExpRatio 1.02 → -10.0 | EMI ratio 0.16 → -4.0 | Growth -0.05 → -3.0 | GST reg 0.83 → +6.7 | Bounces 3 → -9.0 | MinBal → -6.0
MSME039,Warangal Apparels,88.28,Low,0.917,4945301.52,36,10.5% - 12.5%,Approve,Volatility 0.24 → +11.4 | Buffer 43.2d → +8.6 | ExpRatio 0.84 → +3.0 | EMI ratio 0.00 → +2.0 | Growth -0.08 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME040,Balaji Health Care,75.72,Low,0.98,4056531.18,36,10.5% - 12.5%,Approve,Volatility 0.05 → +14.2 | Buffer 16.8d → +3.4 | ExpRatio 0.94 → -10.0 | EMI ratio 0.10 → +0.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME041,Manoj Industries,62.49,Medium,0.96,5760336.57,48,13.0% - 15.5%,Conditional Approval,Volatility 0.12 → +13.3 | Buffer 12.2d → +2.4 | ExpRatio 1.02 → -10.0 | EMI ratio 0.14 → -4.0 | Growth 0.03 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME042,New Provisions,89.0,Low,0.93,3423825.11,48,10.5% - 12.5%,Approve,Volatility 0.20 → +12.0 | Buffer 33.5d → +6.7 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME043,Star Offset Press,79.78,Low,0.94,2822492.85,36,10.5% - 12.5%,Approve,Volatility 0.10 → +13.5 | Buffer 19.8d → +4.0 | ExpRatio 0.92 → -2.0 | EMI ratio 0.06 → +0.0 | Growth -0.01 → +1.0 | GST reg 0.50 → +4.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME044,Shree Carriers,60.51,Medium,0.95,2138721.45,24,13.0% - 15.5%,Conditional Approval,Volatility 0.14 → +12.8 | Buffer 10.1d → +2.0 | ExpRatio 1.00 → -10.0 | EMI ratio 0.17 → -4.0 | Growth -0.06 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME045,Star Kitchen,69.15,Medium,0.98,4811032.07,48,13.0% - 15.5%,Conditional Approval,Volatility 0.05 → +14.3 | Buffer 16.1d → +3.2 | ExpRatio 0.95 → -10.0 | EMI ratio 0.07 → +0.0 | Growth -0.05 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME046,Star Health Care,75.95,Low,0.98,2396487.23,60,10.5% - 12.5%,Approve,Volatility 0.04 → +14.5 | Buffer 21.5d → +4.3 | ExpRatio 0.93 → -10.0 | EMI ratio 0.07 → +0.0 | Growth 0.01 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME047,Anita Tools,48.7,High,0.904,292738.83,18,16.0% - 20.0%,Reject,Volatility 0.24 → +11.4 | Buffer -14.9d → +-3.0 | ExpRatio 1.09 → -10.0 | EMI ratio 0.29 → -12.0 | Growth 0.31 → +8.0 | GST reg 0.75 → +6.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME048,Ganesh Doodh Bhandar,44.26,High,0.928,634963.94,18,16.0% - 20.0%,Reject,Volatility 0.17 → +12.4 | Buffer -5.4d → +-1.1 | ExpRatio 1.07 → -10.0 | EMI ratio 0.17 → -4.0 | Growth 0.10 → +5.0 | GST reg 0.75 → +6.0 | Bounces 4 → -12.0 | MinBal → -6.0
MSME049,Ganesh Roadways,69.05,Medium,0.93,1558675.5,48,13.0% - 15.5%,Conditional Approval,Volatility 0.20 → +12.0 | Buffer 9.6d → +1.9 | ExpRatio 1.00 → -10.0 | EMI ratio 0.17 → -4.0 | Growth 0.29 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME050,Annapurna General Store,73.79,Medium,0.963,1637461.63,24,13.0% - 15.5%,Conditional Approval,Volatility 0.10 → +13.4 | Buffer 7.7d → +1.5 | ExpRatio 0.99 → -10.0 | EMI ratio 0.09 → +0.0 | Growth 0.19 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME051,Krishna Carriers,96.55,Low,0.973,6317146.85,60,10.5% - 12.5%,Approve,Volatility 0.08 → +13.9 | Buffer 38.4d → +7.7 | ExpRatio 0.87 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME052,Shree Provisions,78.16,Low,0.93,2581278.45,60,10.5% - 12.5%,Approve,Volatility 0.20 → +12.0 | Buffer 31.7d → +6.3 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.11 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME053,Om Sai Constructions,48.25,High,0.905,755658.42,18,16.0% - 20.0%,Reject,Volatility 0.21 → +11.8 | Buffer -2.8d → +-0.6 | ExpRatio 1.05 → -10.0 | EMI ratio 0.21 → -8.0 | Growth 0.05 → +5.0 | GST reg 0.58 → +4.7 | Bounces 1 → -3.0 | MinBal → -6.0
MSME054,Ganesh Agri Centre,40.27,High,0.874,970591.07,18,16.0% - 20.0%,Reject,Volatility 0.31 → +10.3 | Buffer -12.7d → +-2.5 | ExpRatio 1.09 → -10.0 | EMI ratio 0.34 → -12.0 | Growth -0.03 → +1.0 | GST reg 0.67 → +5.3 | Bounces 0 → -0.0 | MinBal → -6.0
MSME055,Shree Digital World,83.98,Low,0.941,5327728.88,48,10.5% - 12.5%,Approve,Volatility 0.17 → +12.5 | Buffer 30.9d → +6.2 | ExpRatio 0.92 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME056,Krishna General Store,60.98,Medium,0.919,1859623.97,24,13.0% - 15.5%,Conditional Approval,Volatility 0.23 → +11.5 | Buffer 8.2d → +1.6 | ExpRatio 1.01 → -10.0 | EMI ratio 0.14 → -4.0 | Growth 0.08 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME057,Jodhpur Transport,63.72,Medium,0.952,2432397.5,48,13.0% - 15.5%,Conditional Approval,Volatility 0.14 → +12.9 | Buffer 8.9d → +1.8 | ExpRatio 1.00 → -10.0 | EMI ratio 0.10 → -4.0 | Growth 0.18 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME058,Kolkata Wood Craft,78.23,Low,0.934,9391648.86,36,10.5% - 12.5%,Approve,Volatility 0.19 → +12.2 | Buffer 19.3d → +3.9 | ExpRatio 0.93 → -10.0 | EMI ratio 0.08 → +0.0 | Growth 0.08 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME059,Deepak Medi Store,42.23,High,0.91,1420254.05,18,16.0% - 20.0%,Reject,Volatility 0.17 → +12.4 | Buffer -4.3d → +-0.9 | ExpRatio 1.03 → -10.0 | EMI ratio 0.27 → -12.0 | Growth 0.16 → +5.0 | GST reg 0.42 → +3.3 | Bounces 1 → -3.0 | MinBal → -6.0
MSME060,Shree Krishi Kendra,52.81,High,0.913,434164.64,24,16.0% - 20.0%,Reject,Volatility 0.25 → +11.3 | Buffer -3.2d → +-0.6 | ExpRatio 1.06 → -10.0 | EMI ratio 0.28 → -12.0 | Growth 0.26 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME061,Annapurna Transport,77.09,Low,0.958,7002114.98,60,10.5% - 12.5%,Approve,Volatility 0.12 → +13.2 | Buffer 11.7d → +2.3 | ExpRatio 0.95 → -10.0 | EMI ratio 0.08 → +0.0 | Growth 0.26 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME062,Royal Kitchen,88.01,Low,0.98,7253482.02,48,10.5% - 12.5%,Approve,Volatility 0.06 → +14.2 | Buffer 36.1d → +7.2 | ExpRatio 0.87 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME063,Royal Family Dhaba,84.07,Low,0.975,5136347.34,36,10.5% - 12.5%,Approve,Volatility 0.07 → +13.9 | Buffer 17.5d → +3.5 | ExpRatio 0.95 → -10.0 | EMI ratio 0.07 → +0.0 | Growth 0.13 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME064,Krishna Mobile World,67.92,Medium,0.897,2838161.87,24,13.0% - 15.5%,Conditional Approval,Volatility 0.29 → +10.6 | Buffer 19.7d → +3.9 | ExpRatio 0.93 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.14 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME065,Balaji Motors,89.88,Low,0.965,2982077.41,48,10.5% - 12.5%,Approve,Volatility 0.10 → +13.5 | Buffer 39.0d → +7.8 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME066,Bharat Medi Plus,65.05,Medium,0.967,2191303.96,24,13.0% - 15.5%,Conditional Approval,Volatility 0.10 → +13.6 | Buffer 8.9d → +1.8 | ExpRatio 1.01 → -10.0 | EMI ratio 0.13 → -4.0 | Growth 0.25 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME067,Bharat Mobile World,62.62,Medium,0.872,2597065.32,24,13.0% - 15.5%,Conditional Approval,Volatility 0.37 → +9.5 | Buffer 8.5d → +1.7 | ExpRatio 0.99 → -10.0 | EMI ratio 0.08 → +0.0 | Growth -0.07 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME068,Balaji Service Point,86.56,Low,0.966,4700642.54,60,10.5% - 12.5%,Approve,Volatility 0.10 → +13.5 | Buffer 34.9d → +7.0 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.13 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME069,Annapurna Service Point,36.69,High,0.883,0.0,0,N/A,Reject,Volatility 0.27 → +10.9 | Buffer -5.9d → +-1.2 | ExpRatio 1.09 → -10.0 | EMI ratio 0.33 → -12.0 | Growth 0.67 → +8.0 | GST reg 0.58 → +4.7 | Bounces 5 → -12.0 | MinBal → -6.0
MSME070,Krishna Medicals,70.66,Medium,0.98,1261669.61,48,13.0% - 15.5%,Conditional Approval,Volatility 0.03 → +14.5 | Buffer 14.8d → +3.0 | ExpRatio 1.01 → -10.0 | EMI ratio 0.16 → -4.0 | Growth 0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME071,Shree Medicals,70.81,Medium,0.98,1768064.23,24,13.0% - 15.5%,Conditional Approval,Volatility 0.04 → +14.4 | Buffer 20.9d → +4.2 | ExpRatio 0.94 → -10.0 | EMI ratio 0.09 → +0.0 | Growth -0.05 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME072,New Farm Supplies,100.0,Low,0.943,5216020.48,36,10.5% - 12.5%,Approve,Volatility 0.16 → +12.5 | Buffer 47.4d → +9.5 | ExpRatio 0.85 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.22 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME073,Shree Cafe,42.85,High,0.944,603468.08,18,16.0% - 20.0%,Reject,Volatility 0.09 → +13.7 | Buffer -0.7d → +-0.1 | ExpRatio 1.02 → -10.0 | EMI ratio 0.10 → -4.0 | Growth -0.02 → +1.0 | GST reg 0.50 → +4.0 | Bounces 4 → -12.0 | MinBal → -6.0
MSME074,Star Kirana,87.07,Low,0.918,2715119.23,36,10.5% - 12.5%,Approve,Volatility 0.24 → +11.5 | Buffer 33.9d → +6.8 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.10 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME075,Star Motors,90.97,Low,0.957,5564288.88,60,10.5% - 12.5%,Approve,Volatility 0.12 → +13.1 | Buffer 24.1d → +4.8 | ExpRatio 0.87 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.34 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME076,Om Sai Milk Products,73.09,Medium,0.98,3091793.28,36,13.0% - 15.5%,Conditional Approval,Volatility 0.04 → +14.5 | Buffer 19.6d → +3.9 | ExpRatio 0.93 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.06 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME077,Bharat Industries,87.83,Low,0.922,3733015.12,48,10.5% - 12.5%,Approve,Volatility 0.20 → +12.0 | Buffer 68.9d → +12.0 | ExpRatio 0.90 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.20 → -6.0 | GST reg 0.83 → +6.7 | Bounces 0 → -0.0 | MinBal → +3.0
MSME078,Om Sai Bakery,62.36,Medium,0.916,1407570.26,48,13.0% - 15.5%,Conditional Approval,Volatility 0.24 → +11.4 | Buffer 12.6d → +2.5 | ExpRatio 0.98 → -10.0 | EMI ratio 0.11 → -4.0 | Growth 0.03 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
